step,n,b_em,c_em,delta_em,b_searches,c_searches,delta_searches,b_common_utility,c_common_utility,delta_common_utility,same_raw_trajectory_ratio
1,40,0.475,0.475,0.0,1.7,1.7,0.0,0.4325,0.4325,0.0,1.0
2,40,0.35,0.35,0.0,2.3,2.3,0.0,0.2925,0.2925,0.0,1.0
3,40,0.425,0.375,-0.05,1.85,2.05,0.2,0.37875000000000003,0.32375,-0.05499999999999999,0.0
4,40,0.325,0.35,0.025,1.975,2.0,0.025,0.275625,0.3,0.024375,0.0
5,40,0.25,0.375,0.125,2.15,2.425,0.275,0.19624999999999998,0.31437499999999996,0.118125,0.0
6,40,0.525,0.475,-0.05,1.5,1.95,0.45,0.4875,0.42625,-0.06125000000000001,0.0
7,40,0.3,0.4,0.1,1.75,2.5,0.75,0.25625,0.3375,0.08125,0.0
8,40,0.525,0.4,-0.125,2.05,2.775,0.725,0.47375,0.330625,-0.143125,0.0
9,40,0.55,0.6,0.05,2.125,2.9,0.775,0.496875,0.5275000000000001,0.030625000000000024,0.0
10,40,0.425,0.425,0.0,1.5,1.9,0.4,0.3875,0.3775,-0.009999999999999998,0.0
11,40,0.55,0.55,0.0,2.25,2.575,0.325,0.49375,0.48562500000000003,-0.008125,0.0
12,40,0.2,0.25,0.05,2.425,2.075,-0.35,0.13937499999999997,0.198125,0.058750000000000004,0.0
13,40,0.65,0.575,-0.075,1.95,1.55,-0.4,0.6012500000000001,0.53625,-0.065,0.0
14,40,0.475,0.45,-0.025,2.5,1.95,-0.55,0.4125,0.40125,-0.011249999999999993,0.0
15,40,0.35,0.325,-0.025,2.7,2.25,-0.45,0.28250000000000003,0.26875,-0.013750000000000016,0.0
16,40,0.55,0.575,0.025,2.6,2.075,-0.525,0.485,0.5231250000000001,0.03812499999999998,0.0
17,40,0.075,0.2,0.125,3.05,2.15,-0.9,-0.0012500000000000028,0.14625,0.14750000000000002,0.0
18,40,0.375,0.425,0.05,3.075,2.75,-0.325,0.29812500000000003,0.35625,0.05812499999999998,0.0
19,40,0.6,0.675,0.075,2.625,2.2,-0.425,0.534375,0.6199999999999999,0.08562499999999998,0.0
20,40,0.575,0.55,-0.025,1.775,1.575,-0.2,0.5306249999999999,0.510625,-0.020000000000000004,0.0
