stratum,value,N,K_correct,EM,S_total_searches,mean_searches,mean_searches_given_correct,mean_searches_given_wrong,P_searches_ge_2,P_searches_ge_3,clipped_count,clipped_ratio,invalid_action_count,invalid_action_question_count,invalid_action_ratio,S_0_count,S_0_ratio,S_0_correct_count,S_0_EM,S_1_count,S_1_ratio,S_1_correct_count,S_1_EM,S_2_count,S_2_ratio,S_2_correct_count,S_2_EM,S_3_count,S_3_ratio,S_3_correct_count,S_3_EM,S_4_count,S_4_ratio,S_4_correct_count,S_4_EM
overall,all,256,61,0.23828125,264,1.03125,1.0,1.041025641025641,0.03125,0.0,30,0.1171875,37,30,0.1171875,0,0.0,0,,248,0.96875,61,0.24596774193548387,8,0.03125,0,0.0,0,0.0,0,,0,0.0,0,
dataset,2wikimultihopqa,128,33,0.2578125,132,1.03125,1.0,1.0421052631578946,0.03125,0.0,18,0.140625,21,18,0.140625,0,0.0,0,,124,0.96875,33,0.2661290322580645,4,0.03125,0,0.0,0,0.0,0,,0,0.0,0,
dataset,hotpotqa,128,28,0.21875,132,1.03125,1.0,1.04,0.03125,0.0,12,0.09375,16,12,0.09375,0,0.0,0,,124,0.96875,28,0.22580645161290322,4,0.03125,0,0.0,0,0.0,0,,0,0.0,0,
metadata_type,bridge,105,17,0.1619047619047619,108,1.0285714285714285,1.0,1.0340909090909092,0.02857142857142857,0.0,9,0.08571428571428572,12,9,0.08571428571428572,0,0.0,0,,102,0.9714285714285714,17,0.16666666666666666,3,0.02857142857142857,0,0.0,0,0.0,0,,0,0.0,0,
metadata_type,bridge_comparison,33,16,0.48484848484848486,36,1.0909090909090908,1.0,1.1764705882352942,0.09090909090909091,0.0,8,0.24242424242424243,10,8,0.24242424242424243,0,0.0,0,,30,0.9090909090909091,16,0.5333333333333333,3,0.09090909090909091,0,0.0,0,0.0,0,,0,0.0,0,
metadata_type,comparison,49,22,0.4489795918367347,50,1.0204081632653061,1.0,1.037037037037037,0.02040816326530612,0.0,7,0.14285714285714285,8,7,0.14285714285714285,0,0.0,0,,48,0.9795918367346939,22,0.4583333333333333,1,0.02040816326530612,0,0.0,0,0.0,0,,0,0.0,0,
metadata_type,compositional,51,5,0.09803921568627451,52,1.0196078431372548,1.0,1.0217391304347827,0.0196078431372549,0.0,6,0.11764705882352941,7,6,0.11764705882352941,0,0.0,0,,50,0.9803921568627451,5,0.1,1,0.0196078431372549,0,0.0,0,0.0,0,,0,0.0,0,
metadata_type,inference,18,1,0.05555555555555555,18,1.0,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,,18,1.0,1,0.05555555555555555,0,0.0,0,,0,0.0,0,,0,0.0,0,
level,hard,128,28,0.21875,132,1.03125,1.0,1.04,0.03125,0.0,12,0.09375,16,12,0.09375,0,0.0,0,,124,0.96875,28,0.22580645161290322,4,0.03125,0,0.0,0,0.0,0,,0,0.0,0,
level,unknown,128,33,0.2578125,132,1.03125,1.0,1.0421052631578946,0.03125,0.0,18,0.140625,21,18,0.140625,0,0.0,0,,124,0.96875,33,0.2661290322580645,4,0.03125,0,0.0,0,0.0,0,,0,0.0,0,
hop_proxy,2,223,45,0.20179372197309417,228,1.0224215246636772,1.0,1.0280898876404494,0.02242152466367713,0.0,22,0.09865470852017937,27,22,0.09865470852017937,0,0.0,0,,218,0.9775784753363229,45,0.20642201834862386,5,0.02242152466367713,0,0.0,0,0.0,0,,0,0.0,0,
hop_proxy,4,33,16,0.48484848484848486,36,1.0909090909090908,1.0,1.1764705882352942,0.09090909090909091,0.0,8,0.24242424242424243,10,8,0.24242424242424243,0,0.0,0,,30,0.9090909090909091,16,0.5333333333333333,3,0.09090909090909091,0,0.0,0,0.0,0,,0,0.0,0,
