stage,model,step,actor_pg_loss,actor_kl_loss,actor_entropy_loss,actor_grad_norm,actor_lr,em,reward,avg_searches,no_search_ratio,search_cost,posthoc_utility,response_length,response_clip_ratio,step_seconds,val_em,val_avg_searches,val_no_search_ratio,val_utility
R,Reproduced,1,0.0,0.000646,1.059223,0.031477,0.0,0.0,0.0,1.0,0.5,0.0,-0.025,710.424988,0.025,407.374843,,,,
R,Reproduced,2,0.067082,0.000874,1.00343,1.77647,0.0,0.025,0.025,1.175,0.35,0.0,-0.004375,750.599976,0.025,442.135934,,,,
R,Reproduced,3,-0.022361,0.000622,1.051882,6.317656,0.0,0.15,0.15,1.15,0.375,0.0,0.12125,654.125,0.025,399.716688,,,,
R,Reproduced,4,-0.089443,0.000969,1.119355,2.91351,0.0,0.05,0.05,1.125,0.325,0.0,0.021875000000000002,746.75,0.025,439.673021,,,,
R,Reproduced,5,0.0,0.00056,1.095509,0.036687,0.0,0.0,0.0,0.8,0.5,0.0,-0.020000000000000004,650.299988,0.025,355.364483,,,,
R,Reproduced,6,0.0,0.000459,1.204277,0.034586,0.0,0.0,0.0,0.9,0.55,0.0,-0.022500000000000003,614.049988,0.025,388.682231,,,,
R,Reproduced,7,-0.018257,0.00063,1.022143,2.352766,0.0,0.05,0.05,0.875,0.4,0.0,0.028125,638.875,0.025,367.866634,,,,
R,Reproduced,8,-0.067082,0.000978,1.109939,2.08642,0.0,0.025,0.025,0.75,0.55,0.0,0.006249999999999999,639.950012,0.025,372.205378,,,,
R,Reproduced,9,0.036515,0.001964,0.964195,4.622114,1e-06,0.175,0.175,0.875,0.45,0.0,0.15312499999999998,615.974976,0.025,377.020407,,,,
R,Reproduced,10,-0.062979,0.00057,0.978941,3.938004,1e-06,0.175,0.175,0.925,0.45,0.0,0.15187499999999998,646.200012,0.025,418.677926,,,,
R,Reproduced,11,-0.044721,0.000264,1.089363,1.262107,1e-06,0.025,0.025,0.75,0.525,0.0,0.006249999999999999,618.775024,0.025,371.45924,,,,
R,Reproduced,12,0.0,0.000947,1.085561,0.034074,1e-06,0.0,0.0,0.9,0.425,0.0,-0.022500000000000003,683.75,0.025,413.363346,,,,
R,Reproduced,13,0.0,0.001968,1.037849,0.109221,1e-06,0.0,0.0,0.55,0.675,0.0,-0.013750000000000002,520.674988,0.025,344.118713,,,,
